Index,Text,Grade,Type
367,"This year, Memorial Day will be celebrated on May 28. On this holiday, we honor the American men and women who have served in past wars. A special animal cemetery in New York honors dogs that helped soldiers in wars.
Dogs helped locate people injured in wars. When specially trained dogs brought a soldier's helmet to rescue workers, they knew the soldier needed help. Dogs also carried messages and supplies during wars.
The Hartsdale Pet Cemetery in Hartsdale, New York, built a memorial to war dogs in 1923. Since then, the cemetery has held a special ceremony each Memorial Day to honor the dogs.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
371,"The map below shows the continent of South America. Use the map and the key to answer the questions below.
South America is bordered on the east by the __________ Ocean.
The rain forest __________ covers the northern part of South America.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
427,"Apples are a crunchy, healthful fruit. There are many different kinds of apples. Most kinds of apples are ready to be picked in the fall. Find out how apples grow.
Apples grow on Trees. Watch as an apple seed becomes an apple tree.
is a baby plant that has not started to grow. With water, air, and sunshine, the apple seed begins to grow. Its
is a small tree. A stem grows out of the soil. Its roots keep growing. Soon the stem grows leaves. The young tree is about 4 feet tall.
After many years, an apple tree is about 10 to 20 feet tall. It has a trunk and many branches. It is covered in green leaves. Its roots are fully grown.
An apple tree can make fruit about three to five years after it is fully grown. Apples grow during the spring and summer. They are ready to be picked in the fall.
Each American eats about 65 apples a year.
There is a star shape inside of apples.
Apples float in water because they contain air.
Most Americans' favorite apple is Red Delicious.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
168,"Spring is the season when most apple trees start to bloom. A blooming apple tree grows flowers. In the spring, the weather gets warmer. Soon apples will grow in the places where the flowers are.
Winter is the season when most apple trees rest. In the winter, the weather is coldest. Apple trees have lost their leaves. The branches stay bare until the next spring.
Summer is the season when apples grow bigger. In the summer, the weather is warmest. The new apples are light green. They are not ready to be picked yet. It takes all summer for an apple to fully grow.
Fall is the season when most apples are ripe. Ripe apples are ready to be picked. In the fall, the weather is cooler. People eat the ripe apples. People make apple juice and applesauce from apples, too.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
145,"Each fall, monarch butterflies leave places that turn cold. The monarchs fly to warmer places. Turn the page to learn more about monarch butterflies.
The map to the right shows some places where monarch butterflies migrate for the winter.
means to move from one place to another. Monarchs migrate to warm places like California, Florida, and Mexico.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
307,"Christina Rossetti was a famous poet. She was born in England in 1830. She started writing poems when she was a child. Her first poems were published in 1850.
But when the trees bow down their heads,
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
439,"Last November, doctors operated on a clouded leopard named Joe. Joe had not been eating and had trouble walking. A disease was causing fluid to press on Joe's brain. This disease can also happen to cats, dogs, and humans. A two-hour operation saved Joe's life.
Joe is special because he is an endangered species. He is one of only a few hundred clouded leopards in the world.
Joe lives in Texas at the Fort Worth Zoo. He is often taken out of the zoo to visit people at schools and churches. A
, or animal doctor, at the zoo said Joe is ""part of the family.""
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
27,"Fire Prevention Week is from October 3 to 9. That is a time for kids and their families to learn about fire safety. Here are some tips to stay safe:
Have working smoke alarms in your home. Test them once a month.
Stay away from matches, lighters, and stoves.
Practice a fire escape plan with your family. Choose a place outside where you will meet if your house were to catch fire.
If a fire starts, get out and stay out.
Stop, drop, and roll if your clothes catch fire.
Make sure your smoke alarms work by testing them once a month.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
186,"Learn to tell the difference between the two.
Many people get sick at this time of year. They often catch a cold or the flu. How can you tell those illnesses apart? Each has certain
A symptom is a sign of an illness.
A cold lasts for about a week. It is often
Something that is mild is not strong. A cold usually begins with a sore throat. Then it causes a runny or stuffy nose. People often cough too. Kids may get a slight fever.
The flu can last for weeks. It is much more
than a cold. Something that is severe is serious.
The flu usually begins with a high fever. It can make people very tired and weak. It often causes sore muscles and headaches. It may also cause a cough, a runny nose, and a sore throat.
Colds and the flu pass easily from one person to another. How can you stay healthy? Wash your hands often. Try not to touch your eyes, nose, and mouth. Germs can enter your body through those places. Health experts say kids should also get a flu shot. It protects against the flu.
Why is it important to know the difference between a cold and the flu?
measures published under license with MetaMetrics, Inc.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
490,"Giving Thanks: The Story of the Pilgrims
During the fall, people have always celebrated harvests. In the past, most people grew their own food. They knew that having a large harvest of food would help them through the winter.
Today, many people celebrate Thanksgiving by sharing food. They are thankful for many different things. What are you thankful for?
1. The Pilgrims came to this country long ago. They sailed from England on a ship. The ship was called the
2. At first, the Pilgrims did not have much food. The Wampanoag already lived on the land. these native people helped the Pilgrims. They taught the Pilgrims how to grow corn and showed them where to hunt.
...can have a heart attack if they are scared.
...can fly more than 50 miles per hour.
3. The Pilgrims and the Wampanoag became friends. The Pilgrims were thankful for their friends' help. The Pilgrims and the Wampanoag decided to have a harvest celebration. They ate, played games, and told stories.
Each fall, Americans celebrate Thanksgiving. Americans have many Thanksgiving traditions. They have parades with big floats. They eat turkey dinners. Some people help feed others. What do you do for Thanksgiving?
the gathering of a crop when it is ripe
to honor something special with a party
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
