Index,Text,Grade,Type,bert.2.pred,bert.2.prob.1,bert.2.prob.2,bert.2.prob.3,bert.2.prob.4,bert.2.prob.5
320,"The map below shows the path that monarchs travel when they migrate in the fall and the spring. Why might monarchs need to migrate twice a year?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.5147093534469604,0.27311980724334717,0.10384353995323181,0.06899259239435196,0.03933470696210861
518,"Move over, extra-cheese pizza! Now some schools are making healthier choices.
Former President Bill Clinton has teamed up with about 200 U.S. schools to fight childhood
Obesity is the state of being very overweight. Now some schools are offering healthy foods and regular exercise to students. Clinton plans to reward participating schools.
Teachers are excited about this program. ""I wanted to educate parents and children on the healthy choices they can make,"" says Lillie Carter, principal of a participating school in Arkansas. ""There
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,1,0.2929387390613556,0.4070475399494171,0.23459723591804504,0.027004925534129143,0.03841164708137512
416,". Mammals are animals that drink milk from their mothers. Whales live in oceans. There are many kinds of whales. Whales are some of the biggest animals alive.
. Krill are tiny animals that look like shrimp. The humpback opens its mouth and takes in water and krill. Grooves in the whale's throat stretch to help it hold a lot of water and food. Then it pushes the water out and eats the krill.
All whales, like blue whales, breathe air through
. A blowhole is an opening on top of a whale's head. The blowhole is closed when the whale is under the water. When the whale comes to the top, its blowhole opens. The whale breathes out, making water spray into the air. Then the whale breathes in and goes under the water again.
Killer whales breach, or jump out of the water.
. A breaching whale jumps up out of the water. Then it comes down and makes a huge splash!
No one is sure why whales breach. Some people say that they do it just for fun!
. Whales communicate to talk to one another. Scientists think that a whale communicates by making sounds from its blowhole and from its mouth. Some whales can communicate with one another over hundreds of miles of ocean water!
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.5423656105995178,0.2602231800556183,0.08970283716917038,0.06824380904436111,0.039464615285396576
517,"Read the chart. Fill in the circle next to the correct answer.
1.  How long does Uranus take to travel around the sun?
2.  Earth takes one year to travel around the sun. How many days are in a year?
3.  Which of these planets is farther from the sun?
4.  How much farther from the sun is Venus than Mercury?
Note: The times are in Earth days/years.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.5618447661399841,0.23139294981956482,0.08303771913051605,0.08528203517198563,0.03844257444143295
560,"The first modern Olympics were held in Athens, Greece, in 1896. Some of the sports that year included golf and tug-of-war.
The symbol for the Olympics is five joined rings. At least one of the colors of the rings, including the white background, can be found in the flag of every country in the world.
The Olympic torch is lit in Greece. The flame is taken to the country where the Olympic Games are being held. The torch is then carried through that countrys major cities. Many different people take turns carrying the torch. Once the Games are over, the flame is put out.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,1,0.32467201352119446,0.4044085144996643,0.19138489663600922,0.03969036787748337,0.03984420374035835
34,"The graph below lists different forms of transportation and the average speed of each one. Use the graph to answer the questions below.
    horse   subway   small airplane
    horse   subway   ferry
What is the average speed of a school bus?
    20 mph   25 mph   35 mph
Which travels at an average speed of 25 mph?
    horse   train   ferry
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.5778549909591675,0.2212371677160263,0.08430164307355881,0.07789597660303116,0.03871012479066849
597,"On September 15, a runner will carry a torch into the Olympic stadium in Sydney, Australia. When the runner arrives, the 2000 Summer Olympic Games can begin!
The torch traveled for 128 days from Greece, a country in Europe. It was carried by more than 13,000 people. The torch was carried on an airplane, in a helicopter, and on a camel's back. It was even carried by a diver underwater!
The torch is special because the smoke from the torch's flame does not pollute the air. Empty fuel cans and leftover fuel will be used again.
The torch also has a built-in safety system. If the torch is turned upside down or left lying on the ground, the flame goes out.
The torch will light the Olympic flame in Sydney. The flame will burn until the Games are finished on October 1.
More than 100 countries will send their best athletes to compete in the Olympics. The United States will send at least 200 athletes to the Games.
The top three finishers in each event win a medal. First-place finishers win a gold medal, second-place finishers win a silver medal, and third-place finishers win a bronze medal.
The first Olympics took place long ago in Greece. The Olympics helped keep peace among different groups of people.
Home Connection Activities: Follow the Olympic Torch!
Home Connection Activities: Follow the Olympic Torch!
measures published under license with MetaMetrics, Inc.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,1,0.37227863073349,0.38011831045150757,0.17968705296516418,0.030863137915730476,0.03705282881855965
505,"About 300 million people live in the United States. How many of those people are Hispanic American? More than 46 million! The number keeps growing. By the year 2050, experts say, nearly one of every three Americans will be Hispanic.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.4397834539413452,0.32859665155410767,0.12496943771839142,0.06609154492616653,0.04055900126695633
281,"When kids get flu shots, everyone may end up healthier. That is what a new study shows. Almost 50 farming
in Canada took part in the study. A community is a group of people living in an area.
Kids in half the communities were given flu shots. Kids in the other half were not given flu shots. No adults were given flu shots.
What did scientists learn? Fewer adults and kids in the flu shot group got the flu. The scientists say that giving flu shots to kids can protect the whole community.
Health experts say kids should get a flu vaccine every year.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,1,0.30963820219039917,0.405001699924469,0.20749831199645996,0.036924511194229126,0.04093722254037857
412,"The Wright brothers flew the first airplane near Kitty Hawk, North Carolina. Use the map to answer the questions.
What is the capital of North Carolina?
Which of these states is west of North Carolina?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.5720764994621277,0.21761056780815125,0.08361709117889404,0.08496225625276566,0.04173355922102928
303,"Chinese New Year is here! The holiday is the longest and most important celebration in China. It lasts for 15 days. This year, it began on January 26. Chinese New Year festivals take place in many cities across the United States.
Each year in the Chinese calendar is named after an animal. This is the Year of the Ox.
Kids carry bright lanterns in evening parades during the Lantern Festival. People wear a dragon costume and dance through the streets. The dragon is thought to bring good luck. The costume can be longit may stretch more than 100 feet! That is longer than two school buses. The festival is held on the last day of the holiday. It also includes music and fireworks.
People use chopsticks to eat their food.
People eat many special meals during Chinese New Year. They eat foods such as soup, dumplings, chicken, fish, and sweets. The foods stand for different wishes of luck. For example, dumplings stand for the wish of wealth. Sweets stand for a sweet new year.
People wear red clothing during this holiday. The color red is thought to keep away bad luck. Homes are decorated with happy wishes written on red paper. Family and friends give kids small red envelopes. The envelopes are filled with money for good luck.
Why are New Years celebrations important to many people?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.5272790789604187,0.2978525161743164,0.0892329066991806,0.04451237991452217,0.04112307354807854
274,"Winter brings many holidays, they are celebrated in different ways. Bright lights are a part of each one. Read below to learn more!
Cast a glow on winter's dark nights.
Ramadan lanterns burn bright as can be,
All of the holiday lights have good reason,
U.S. Department of Health and Human Services
Hanukkah is a Jewish holiday that lasts for eight nights.
Hanukkah is a Jewish holiday. It is celebrated for eight nights. On each of the eight nights, a candle is lit in a special candleholder called a
Christmas is a Christian holiday. It is celebrated in most places on December 25. People sing carols, set up mangers, and decorate trees with ornaments and strings of lights.
Las Posadas is a Hispanic holiday. This holiday is celebrated for nine nights. On the last night, people carry candles to light their way while walking in a special parade.
U.S. Department of Health and Human Services
Kwanzaa lasts for seven nights and is a celebration of family, community, and culture.
Kwanzaa is an African American holiday. It lasts for seven nights. Each night, people eat special foods and light candles in a special candleholder called a
Ramadan is an Islamic holiday. It is celebrated for one month. During this holiday, children carry a special lantern called a
Diwali is a Hindu holiday. This holiday is celebrated for five days. At night, people light candles and oil lamps called
to brighten their houses and the streets.
How do you celebrate the winter holidays with bright lights?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.5076397061347961,0.31112247705459595,0.08891041576862335,0.05603421479463577,0.03629318252205849
575,"Learn about the Hispanic way of life.
(fee-ESS-tah) time! That is the Spanish word for party. Hispanic Heritage Month is here. It takes place from September 15 to October 15. During that time, we celebrate the Hispanic way of life.
are people whose families came to the United States from Spanish-speaking countries.
Many Hispanic Americans speak both Spanish and English.
(OH-lah) is the Spanish word for hello. What do those two words have in common?
What type of bread is flat and round? It is the Spanish
(tor-TEE-yah). It is often filled with meat, cheese, and beans. Many people add sour cream on top.
Music and dance are a big part of Hispanic culture. Dancers wear brightly colored clothing. They move and spin to the beat of the music.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.5063833594322205,0.2779838740825653,0.10442142933607101,0.07170677185058594,0.039504554122686386
516,"lived millions of years ago. Scientists recently discovered something new about dinosaurs.
Scientists stumbled upon strange-looking dinosaur bones in Germany.
that are unlike any they had seen before. Fossils are remains of plants and animals that lived long ago. This is what scientists found:
The fossils were from a sauropod (SAWR-uh-pahd). Sauropods were tall, plant-eating dinosaurs. The fossils were much smaller than other sauropod fossils.
The fossils were from a dinosaur that lived on an island in Germany. The dinosaur had little food to eat and little space to roam. It never grew!
Germany is a country in Europe. Why might scientists have named the dinosaur Europasaurus?
The dinosaur shrank over time to fit on the island. Scientists named their new discovery
Scientists sometimes group dinosaurs by the food they eat.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.48170098662376404,0.3006848394870758,0.10828351229429245,0.07046248018741608,0.03886812925338745
