Index,Text,Grade,Type
40,"Experts say that Antarctica is the coldest place on Earth. They say that some of the coldest temperatures in the world have been noted in Antarctica. People there wear special clothes to stay warm. But how do animals stay warm in Antarctica?
Antarctica is a big icy continent. It is around the South Pole. The South Pole is found at the bottom of Earth.
Penguins are birds. Emperor and Adelie penguins live in Antarctica. The penguins stay warm because they have feathers that are very small and close together. The feathers have oil on them. Cold water can't get through the feathers to touch the penguins' skin. Each year, penguins molt, or lose, their feathers and grow new ones.
Penguins can waddle faster than humans can walk.
Penguins like to line up and dive into the water again and again.
Penguins sometimes toboggan, or slide, on their bellies.
Penguins surf waves to get back to shore.
Weddell seals live in Antarctica. Weddell seals swim in the cold ocean water to catch fish and other ocean animals to eat. These seals don't chew their food. They swallow the food in big pieces.
Weddell seals stay warm because they have a layer of blubber, or fat. They also have a coat of thick fur. The fur keeps water from touching the seal's skin.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
5,"Some ants live in special plants known as ant plants. Those plants have
parts where the ants can live. Something that is hollow has empty space inside. The ants help the plants by killing insects that eat the plants.
Scientists recently found that some ants can harm plants. The ants attack plants that do not have hollow parts. The ants dig tunnels in the plants to make nests. Why? Scientists say that when the ants run out of space in ant plants, they make room in other plants.
This ant and plant get along well. The ant lives inside the plants hollow parts. The ant kills insects that eat the plant.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
178,"Some animals travel south for the winter.
. They move from one place to another place. Some go by land, others by air, and some by water.
. One large herd lives in Alaska in the spring. They migrate south in the fall when the weather gets colder. They go to Canada. The winter is warmer there, and they can find food more easily.
Many humpback whales go to the Gulf of Alaska in the summer to eat. The whales migrate south in the fall to warmer water near Hawaii. They go there to have their babies.
Monarch butterflies migrate in the fall when the weather gets cool. They go to warmer places to rest for the winter. They start their trip in the United States and Canada. Most fly south to Mexico. In the spring, they return north.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
469,"The graph below lists some more coral reef critters. The yellow bars show about how wide each animal can grow. Use the graph to answer the questions below.
How wide is a blue sea star?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
628,"In the Chinese calendar, each year is named for a different animal. Look at the 12 animals on the chart. You can see that 2007 is the Year of the Pig. Use the chart to answer the questions below.
 The chart shows __________ as symbols for years.
      books
      children
      animals
 The year 2011 will be the Year of the ___________.
      Ram
      Rabbit
      Snake
 The next Year of the Dragon will be __________.
      2008
      2010
      2012
 The year 2010 will be the Year of the __________.
      Tiger
      Rooster
      Ram
 The next Year of the Ram will be __________.
      2012
      2015
      2009
 The last Year of the Monkey was __________.
      1999
      2003
      2004
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
319,"People often confuse spiders with insects. The chart below shows some of the differences between spiders and insects. Use the chart to correctly answer each question.
How many legs does an insect have?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
366,"In 1909, explorer Matthew Henson was one of the first people to reach the North Pole on foot. Henson, an African American, was honored by the National Geographic Society last fall. The society gave Henson's family the Hubbard Medal, which is the society's highest honor.
Henson was an expert sled dog handler. He also learned to speak Inuit, the language spoken by people living near the North Pole.
Henson died in 1955. Last November, Henson's great-niece accepted the medal in his honor.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
522,"Firefighters protect people from fires. What keeps firefighters safe?
Read about a firefighter's turnout gear. Answer the questions below.
Kate Eiseman / Facts on File / Sean Parkes
What protects a firefighter's head from falling objects?
What buzzes when a firefighter stops moving?
What keeps a firefighter from breathing in smoke?
What does a tank do for a firefighter?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
396,"Your bones are still growing. Exercise helps build strong bones. Do all kinds of exercise build bones? No! That is what a recent study has found. Experts say
activities are best. They take a lot of energy. Light exercise, such as walking, does not help bones.
Experts say running and playing sports help kids build strong bones. Which vigorous activities might help you build strong bones?
Kids should run and play sports, says Jon Tobias. He is the scientist who led the study. Those exercises make you a bit out of breath. They are good at building stronger bones.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
277,"Sue is super! She is the largest and most complete
ever found. A fossil is the remains of an animal or a plant that lived long ago. Many people visit Sue each year. Read the time line below to learn more about Sue.
Length of teeth: 7 to 12 inches
dies. Its body is covered by sand and mud. It turns into a fossil over time.
bones. They are sticking out of a cliff in South Dakota. The fossil is named after Sue.
The bones arrive at the Field Museum in Chicago, Illinois. Scientists clean and study them.
Sue goes on display at the museum. People come to see the new exhibit.
Why might people be interested in dinosaurs?
measures published under license with MetaMetrics, Inc.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
