Index,Text,Grade,Type
4602,"What is the subject matter of the art, craft or design work you are studying? How can it be described?
The 'S' of SEMI stands for 'Subject'. Subject is the first element of the SEMI approach.
The words you use to describe the subject matter of a piece of art, craft or design work will depend on the individual work. Below are lists of descriptive words that you could use:
- man, woman, child, groups of people, royalty, religious figures, families, people in love, people at war
- everyday life, worship, at war, working, sleeping, posing, storytelling
- the still life, everyday objects, food and drink, plants, the landscape, personal belongings, religious artefacts, symbols and signs
- colours, shapes, geometric, patterns, suggestive, mood, emotion, dark, light, powerful, subtle
- sculptural, decorative, functional, vase, bowl, cup, plate, jewellery, necklace, bracelet, earrings
- Square, circular, long, tall, short, interlocking
- flowers, stems, petals, flowing, curving, interlocking, curved
- clothes, shoes, hats, jewellery, furniture, houses and buildings, bridges, fabric, wallpaper, designs for print, logos, posters
- anatomical, flowers, stems, petals, flowing, curving, interlocking, curved
- memories, stories, myths and legends, religious, everyday
Now that you have looked through the lists of words that help identify the subjects in art, craft and design have a go at this activity.
Identify the subject matter for these artworks.
The author Rod Taylor uses six universal themes when discussing works of art. He believes that these themes are broad enough to group together all works of art, craft and design.
 Man Ray Trust / ADAGP / DACS
Sanno Festival Procession at Kojimachi I-chome, 1857
 Prof. Aldo van Eyck / Bridgeman
",5,BitGCSE
6567,"Production plans and work schedules are important planning tools in batch and mass production.
The production plan should set out information about all the stages of production, so that every product is made to the same quality. See example below:
A flow diagram to show where and how to check for quality
Each production plan should include the following stages:
The preparation stage details the amount of materials to buy-in, preparation of
the separate pattern pieces of a garment such as the back, front and sleeves.
making aids which help you put the same things in the same place on each item. They can be cut out of wood, card or other materials. In textiles for example a template will help you place buttons.
the laying out of pattern pieces of a fabric to work out the quantity and cost of material required for a product.
spreading out fabric in layers ready for cutting.
putting cut fabric pieces into identical bundles ready for assembly.
a method of joining two materials together. In textiles this involves joining fabrics together using an adhesive resin.
attaching to materials together. In textiles this involves stitching, fusing or heat-sealing the materials together.
using dry heat or steam to shape, stabilise and set textile materials.
final processes in garment manufacture - including overlocking, pressing, and decoration
stage gives instructions for decorative/functional finishing and final pressing.
The packaging stage explains how to label, hang, fold, and cover the product ready for transport to the retailer.
Some manufacturers use computer software to handle the detailed information in the production plan. Any changes made to the plan are quickly available to each member of the production team.
A work schedule sets out instructions about the order of
the process of joining pattern pieces together to make a product.
, the stitch type, the processes to be used, the time each process will take and the
the amount of material between the edge of a fabric and the seam line.
. See the example of a work schedule below:
Post ideas and discuss Design and Technology here.
Give your revision some visual style with a Bitesize revision map!
Get creative! Find Art & Design tips and inspiration.


",5,BitGCSE
3162,"As part of each project, you have to describe your art or design work. This is where you explain your ideas, and show you've done all your coursework. it needs to be clear that you kept assessing what you were doing
, to show how your ideas moved along.
Make rough notes when you do work of any kind. You need to
show evidence of what you have learned
. It's easier to record things while you are working than at the end of your project.
Here are some questions to help you with your written comments - plus some phrases you could use for your answers.
Explain how your theme has changed or developed. What new ideas have you had?
In this drawing, I wanted to explore how ...
In this drawing, I wanted to show the areas of light and dark, so that my work looks as three-dimensional as I can make it.
I got the three-dimensional effect by shading with 2B and 3B pencils.
I worked on trying to blend better from light to dark.
When I experimented with ... (acrylics,watercolours, oils, chalk pastels, oil pastels, inks), I found that the colours I blended were really ... (effective, realistic, vivid, natural, unnatural)
I used ... (acrylics, oils, pastels, chalks, collage) ... because ...
theme is 'Overhead and Underneath'. She talks about how she experimented with different techniques before choosing one to use in her final piece.
Back to AO4 - Personal response index
Post ideas and discuss Art and Design here.
Get some direction with a Bitesize revision map
Get creative! Find Art & Design tips and inspiration.


",5,BitGCSE
4982,"Chamberlain made the Munich Agreement with Hitler to prevent war, but, in the year after September 1938, there were
pressurising him to abandon his policy of appeasement.
- attacks on the Jews in Germany.
- Hitler invaded the rest of Czechoslovakia.
- Chamberlain's Conservatives won, but the anti-appeasement candidate got lots of votes.
an alliance was formed between Germany and Italy to help each other in times of war.
Britain was building up its armed forces throughout 1938 and 1939.
Back to International relations 1900 - 1939 index
Fed up with reading? Give your ears a treat and listen to some History audio.
All things historic - from ancient to modern.


",5,BitGCSE
1997,"You should try to develop your questionnaire and the spreadsheet, which you will use to analyse the data, together. That way, you can be sure the questionnaire has the right sort of questions.
Spreadsheets are best at analysing data that is:
This allows you to find things like
range is the difference between the highest and lowest values in a set of data.
. Remember the data handling you have done in mathematics  things like 'range'. You will get good marks if you apply the skills you learned in maths to the work you do in writing the questionnaire report. To revise data handling, take a look at
For example, the question 'Do you agree that children watch too much television?' could have the possible answers 'yes', 'no' and 'not sure'. Questions like this will let you use
Numerical data can be entered onto a spreadsheet for analysis
If you want to ask people's opinions and also analyse results in a spreadsheet, it's best to give rate answers. For example:
'My life is dependent on my mobile phone'.
Rate the statement from 1 (strongly agree) to 5 (strongly disagree).
It is best to avoid questions that give a range as the answer, as these are hard to analyse. For example, it is better to ask How much pocket money do you get?, and get a single value than to give the respondent a range of values such as 1 to 2, 2 to 3, 3 to 5, more than 5.
Test your survey and spreadsheet on a couple of people first, before you try doing the whole thing. That way you can make sure that both parts work well, and that you do not waste any time. It is a good idea to get a maths teacher to check over your survey to see if they have any suggestions on how it can be improved.
Post ideas and discuss ICT and DiDA here.
Give your revision some visual style with a Bitesize revision map!
Technically the best ICT revision site in the world.


",5,BitGCSE
6477,"You need to know how to collect gases produced in reactions by upward and downward delivery, over water and using a gas syringe. You need to be able to explain the method of collection if you are given information about the density and solubility of the gas concerned.
The table summarises the ways in which hydrogen, oxygen, carbon dioxide, ammonia and chlorine may be collected. Note that all these gases may be collected using a gas syringe.
Fed up of reading? Try this activity!


",5,BitGCSE
6912,"The structure of business organisations depends on the nature of their activities. A manufacturing firm may have a different structure from one providing a service. Two common ways of organising firms internally are dividing by:
A manufacturing firm may divide its operations up by product, as it probably produces a range of products.
Most large companies have departments or functions as their basis for internal structure, for example: Production, Finance, Marketing and Personnel. The head of each area is called a director.
The chain of command is the formal line of communication that starts with the Board of Directors and the Managing Director, who make the firm's decisions. Below them are the department managers, then the section heads and finally to the shop floor or office staff. This is a
The order or levels in a structure are based on each level being more important than the one below it.
The chain of command is a typical pyramid shape. At each stage in the chain, one person has a number of workers directly under them, within their span of control. This person directly responsible for a group of workers is called their line manager.
Get down to business and discuss Business Studies here.
Losing your way? Make a Bitesize revision map!
For news that really does the business!


",5,BitGCSE
6648,"Brush up on your sweep shot technique by watching this video.
In order to see this content you need to have both
Post ideas and discuss Physical Education here.
Learn all about eating to increase performance!
Learn all the skills you need to succeed in sport.


",5,BitGCSE
1250,"This Revision Bite contains a final checklist, and points to consider that could earn you those
Have you covered most of the following points?
How you were affected by the stimulus material.
What feelings you want your audience to experience.
Brain storm details or mind map from your initial discussion at the start of the work.
Just single words or phrases from these will gain few marks.
Have you developed some ideas in more detail?
Mention any still-image/freeze frame work that you did.
To question an individual while they remain in character
An activity used to develop characters and present information about that character
Why your character might be important to the drama. (Think of what the drama couldn't show if your character wasn't in it!)
Have a go at dressing up different characters!
Get creative, go backstage and find drama tips and inspiration.
General Theatre Links - Theatre Studies: Articles and Resources
Greek Theatre - Wikipedia: Theatre of Ancient Greece


",5,BitGCSE
2373,"For some background on Simon Armitage, look at the Context section of
Listen to the poem and watch the slideshow
Batman, big shot, when you gave the order
to grow up, then let me loose to wander
leeward, freely through the wild blue yonder
as you liked to say, or ditched me, rather,
in the gutter ... well, I turned the corner.
Now I've scotched that 'he was like a father
to me' rumour, sacked it, blown the cover
on that 'he was like an elder brother'
story, let the cat out on that caper
with the married woman, how you took her
I'm not playing ball boy any longer
for a pair of jeans and crew-neck jumper;
next to nothing in the walk-in larder,
punching the palm of your hand all winter,
you baby, now I'm the real boy wonder.
An extended speech performed by one person only
by Robin the Boy Wonder, the loyal sidekick to Batman in the comic strips, television programmes and films. Robin talks about how he has separated from Batman and is learning to lead his own, independent life. In the process he publicises some of Batman's secrets so that we see the 'superhero' in a new light. Robin ends up stronger and more mature. The poem is often humorous but has a serious message too.
Give your revision some visual style with a Bitesize revision map!


",5,BitGCSE
