Index,Text,Grade,Type
7597,"Be aware that texts about French-speaking people are not always located in France. This text refers to two other French-speaking countries.
Read the text carefully at least twice. You should then have plenty of information about both Christophe and other members of his family.
) very carefully so that you understand exactly what they mean and what you are looking for.
Your answers need only be very short and should be taken directly from the text. For example, here if you were asked to name one of Christophe's pets,
In this unit the text refers to both the future:
'mon papa tait professeur' 'je suis n.'
Remember that texts above foundation level will often contain different verb tenses, so your ability to understand past and future is a key part of the task.
French phrases and revision - blasted directly into your ear!
Use your language skills in this sinister game of intrigue and detection.
Parlez like a pro with BBC Languages.
Aiglon College - GCSE French interactive exercises/games


",5,BitGCSE
2878,"A group of lines of poetry that make up a unit - like a paragraph in a piece of prose; a verse.
of 24 lines. The lines are pentameters (they have 10 syllables each).
Think about how the language the poet uses helps to convey his ideas. Here are some points to consider:
Think about the title. It does not tell us anything about Batman and Robin - it's only when we begin to read the poem that the identity of the 'kid' becomes clear. However, if we go back to the title having read the poem, it may remind us of other young people who are caught up in the shadow (line 20) of someone they admire, and their need to forge their own identity.
Batman is at first presented as a real superhero: he is described at the start in the alliterative phrase Batman, big shot, as someone who gives orders to Robin. Yet as we read on, his status is diminished. We hear that he
(line 4) Robin and had an affair with a married woman (line 10). We see him at the end all alone, cooking an unappealing meal for himself (
(line 21), with next to nothing (line 22) in the house to eat. Can it be that he cannot manage by himself, without Robin around? He is shown as anxious to get going,
(line 23) with boredom, but unable to do anything.
This poem contains various examples of slang, for example naval slang -
(line 2), British slang - the ordinary word motor (line 11) for the amazing Batmobile, and American slang -
(line 24). The mixture of styles adds humour and perhaps helps to illustrate the growing-up process: Robin is trying out a mixture of things.
There is a serious message behind the comedy - we are encouraged to consider whether heroes and hero-worship can really sustain young people growing up. However marvellous the admired person may be, a young person has to learn to be independent -
(line 18) and to live their own life.
Give your revision some visual style with a Bitesize revision map!


",5,BitGCSE
1135,"These are the steps in selective breeding:
from parents to breed the next generation
wheat by crossbreeding wheat plants with disease resistance and wheat plants with a high yield.
by selecting bulls from high yield herds and breeding them with cows that have the best milk production.
Selective breeding can also be used to modify other characteristics of cattle.
Aberdeen Angus bull - bred for beef
Problems with selective breeding - higher tier
Future generations of selectively bred organisms will all share very
more dangerous as all the organisms would be affected. Also there's increased risk of genetic disease caused by
Some genes would be lost, making it more difficult to produce new varieties in the future. In scientific language this would be described as inbreeding can lead to a reduction in the size of the gene pool.
Give your revision some visual style with a Bitesize revision map!


",5,BitGCSE
2738,"Public health is about avoiding the spread of disease within a particular society - often through providing water to help people keep themselves, their animals and their surroundings clean. Is there any
Prehistoric people would not have had any concept of public health - they did not settle in one place, so would have seen no need to build things like
Prehistoric family leaving cave, and its accumulated dirt and litter, on way to their next resting place
It's unlikely that they had any idea of personal health either. The Australian aborigines of recent times did have some practices that seem 'healthy' - for instance, they buried their excrement far from the camp - but they did so for
(to stop an enemy finding it and stealing their spirit) rather than for
. There is no evidence that primitive peoples understood that there was any link between dirt and disease.
Fed up with reading? Give your ears a treat and listen to some History audio.
All things historic - from ancient to modern.


",5,BitGCSE
3379,"While Atticus is away on business, Calpurnia - the Finches' Negro cook - takes Jem and Scout to the black church. The community there honour the children's presence out of gratitude for all that Atticus is doing for Tom.
Aunt Alexandra - Atticus' sister - arrives to stay with the family, believing that Jem and Scout (particularly Scout!) need a mother figure. (Their own mother died when Scout was two.) There is a row when it is discovered that the children went to the black church and Aunt Alexandra forbids Scout from visiting Calpurnia's house.
Dill arrives in the middle of the night, having run away from his new stepfather.
Back to To Kill a Mockingbird index
Losing your way? Make a Bitesize revision map!
Get creative, get published and get expert writing advice at BBC Blast.


",5,BitGCSE
4718,"That autumn, Scout and Jem find more presents in the knothole, including a watch, a spelling medal and two figures of the children carved from soap. They realise the gifts must be from Boo. Just when they are about to deliver a note of thanks, Nathan cements the hole up.
One very cold night there is a fire at their neighbour's, Miss Maudie. As Jem and Scout stand shivering outside, someone puts a blanket over Scout. Jem is convinced that Boo did it and tells Atticus about the presents and his mended trousers.
Back to To Kill a Mockingbird index
Losing your way? Make a Bitesize revision map!
Get creative, get published and get expert writing advice at BBC Blast.


",5,BitGCSE
6453,"This Revision Bite will help you understand the main methods of production and the impact of new technology.
The types of goods and size of potential orders will affect the method of production used. There are three methods of production you need to be familiar with:
An individually designed house is an example of job production
This method is used when a customer makes an order for something to be made to his or her own specifications, for example a made-to-measure wedding dress, a personally designed house, a motorway or a passenger cruiser.
Requiring a high level of worker input.
This method is used when the size of the market for a product is not clear, and where there is a range within a
A product's range of sizes, designs or models.
. A certain number of the same goods will be produced to make a up a batch or run, for example clothes (where a batch of size 12 clothes in blue might be made, then a batch of size 10 in red), or carpets. This method involves using estimates.
Large-scale production benefits from economies of scale, such as division of labour and specialisation. This method is used when there is a mass market for a large number of identical products, for example, cars, computers, chocolate bars or toasters. The product passes from one stage of production to another along a
Requiring a high level of financial investment, eg buying specialised technology with specially trained operatives.
Get down to business and discuss Business Studies here.
Losing your way? Make a Bitesize revision map!
For news that really does the business!


",5,BitGCSE
6522,"What does Sikhism teach about good and evil?
A Punjabi term used in Sikhism to refer to God.
). People should live their lives in obedience to Gods will.
Suffering is not inflicted directly by God but is
by God as a test of courage and faith. Suffering is appreciated for the good that it often brings out in humanity eg,
, which is part of God, in everyone. This spark or soul is re-absorbed into God when a person is finally released from the cycle of births and deaths.
The soul lives through many different forms of existence before being born into a human body. There are 8,400,000 different forms of life, and many souls have to
though many of these before they can finally reach God.
. So it is only when the soul is in a human being that the cycle can be broken. Freedom from this cycle of rebirth is called
. However, Guru Nanak preached that the birth is due to a persons
There are several things which can stop a soul reaching
, being too attached to the world
, being self-centred instead of God-centred (
, illusion  looking at the world and ignoring God
Sikhs try to live without these influences and devote their lives to
Post ideas and discuss Religious Studies here.
Get some direction with a Bitesize revision map
Understand the beliefs of others and develop your own opinion.


",5,BitGCSE
6311,"You may wish to view this funny
from 2006 about the need for accurate food labelling.
Food labelling gives information about what is contained in food. People are able to use the information on food labels to decide what they should buy and eat.
Food labelling is controlled by law. What manufacturers print on labels must be true. This protects people from false and misleading claims of what the food contains.
There is no universal method of food labelling in the United Kingdom. Although the Food Standards Agency has recommended a system for labelling, food manufacturers and retailers can use whatever system they choose.
Put down that pen and listen to some Science audio.


",5,BitGCSE
2316,"yourself on Input devices, processing and output devices
Post ideas and discuss ICT and DiDA here.
Give your eyes a break! Why read when you can listen?


",5,BitGCSE
