Index,Text,Grade,Type
5186,"Sometimes it is useful to know whether the reactants and products in a chemical reaction are solids, gases, liquids or dissolved in water. We can add
to a symbol equation to show this.
So for the reaction between sodium and water, this is the symbol equation with state symbols:
Read on if you are taking the
Put down that pen and listen to some additional Science audio.


",5,BitGCSE
6298,"The table below states the main differences between bitmap and vector graphics.
Large, as the computer stores details of every pixel
Small, as the computer stores details of objects, which do not require much memory
Not real (many of them look like cartoon images)
Post ideas and discuss ICT and DiDA here.
Give your revision some visual style with a Bitesize revision map!
Technically the best ICT revision site in the world.


",5,BitGCSE
1970,"Christianity: beliefs about care of the planet
Christianity: beliefs about care of the planet
The relationship between human beings and the earth is increasingly complicated and urgent. Every day there are stories about pollution, global warming and animal species facing extinction. Religion is responding with views on the enviroment and our responsibility for it.
Although human beings are seen as the most intelligent life form on earth, they are responsible for almost all the
done to the planet. If we imagined the earth is aged 46, all the damage done has taken place in the last 60 seconds of the earth's life.
I believe in one God, the Father, the almighty, maker of heaven and earth.
Then God said, 'Let us make man in our image, in our likeness, and let them rule over the fish of the sea and the birds of the air, over the livestock, over all the earth, and over all the creatures that move along the ground.' God blessed them and said to them, 'Be fruitful and increase in number; fill the earth and subdue it. Rule over the fish of the sea and the birds of the air and over every living creature that moves on the ground.'
this story as giving people the right to exploit the environment. However, most people see themselves as being
for the world created by God and they have to make their own
The Bible has very little else specific to say about the environment, but it explains the principles of
In the Old Testament the Jews were told to rest the land once every 50 years so that it would produce more in the future (Leviticus 25:8-11). They were also ordered not to destroy trees when they were attacking a city:
When you lay siege to a city for a long time, fighting against it to capture it, do not destroy its trees by putting an axe to them, because you can eat their fruit. Do not cut them down. Are the trees of the field people, that you should besiege them?
It is clear that the earth still belongs to God not to humans:
The earth is the Lords, and everything in it, the world, and all who live in it.
In the New Testament Jesus stresses Gods concern for life:
Consider how the lilies grow. They do not labour or spin. Yet I tell you, not even Solomon in all his splendour was dressed like one of these.
the environment by holding harvest festivals each year when they
Back to Religion, science and the environment index
Post ideas and discuss Religious Studies here.
Get some direction with a Bitesize revision map
Understand the beliefs of others and develop your own opinion.
The Roman Catholic Church in England and Wales


",5,BitGCSE
1735,"In the role-plays it is very important to say something for every point, even if you are not sure you are saying it completely correctly
In the Higher tier role-play exam, the instructions on the exam card are often much shorter than the Foundation exam - sometimes just single words - so it's more important that you listen to and understand the question properly. Remember if you really don't understand you can always ask the teacher (in German) to repeat the question.
Where you see an exclamation mark (!) in the role-play instructions you will have to respond to a situation you haven't prepared.
Give your revision some visual style with a Bitesize revision map!
Learn to sprechen like a native with the BBC.


",5,BitGCSE
5244,"This Revision Bite covers different types of
. These range from poetry extracts to TV drama, and you'll be using them in
In Drama Exploration Unit 1, you'll be given a range of drama texts. Sometimes these are called
things that set off a reaction in the nervous system - for example, light, heat, sound, gravity, smell, taste, or temperature. The singular is stimulus
, as they're intended to stimulate a response in you, which will help give you ideas for your drama work.
Photographs, paintings, masks, props, costumes, sculptures, art objects.
Go forward, Faustus, in that famous art.
Contrition, prayer, repentance - what of these?
O, they are means to bring thee unto heaven!
Rather illusions, fruits of lunacy, That make men foolish that do use them most.
Sweet Faustus, think of heaven and heavenly things.
No, Faustus; think of honour and of wealth.
Wealth! Why, the signiory of Embden shall be mine. When Mephistophilis shall stand by me, What power can hurt me? (
The surgeon deposited it in her arms. She imprinted her cold white lips passionately on its forehead; passed her hands over her face; gazed wildly round; shuddered; fell back - and died.
Television, film or video stills or clips
A still from popular TV soap, Eastenders
The drama texts you're given will form the basis of your
A collection of your work, completed over the duration of your studies
. This is where you show how you've responded to, developed and evaluated drama during your course. You can find out how to make a good portfolio in the
Learn how to thought track in this activity!
The ultimate guide to getting started in drama.
Shakespeare and the Globe - Shakespeare's Globe
General Theatre Links - Theatre Studies: Articles and Resources
Greek Theatre - Wikipedia: Theatre of Ancient Greece


",5,BitGCSE
4033,"In the role plays it is very important to say something for every point, even if you are not sure you are saying it completely correctly. Read the instructions carefully.
It is important to give more than one detail for each bit of each question. If you are asked for a description give as many details as possible.
If you get stuck try to think about other ways of expressing the same ideas in English.
Usually at higher level they will be looking to see if you can manipulate verbs in the past, present and future. This includes in the exclamation mark question on the spur of the moment so learn your verbs carefully - at very least learn the verbs given in the roleplay phrases and conversation sections.
Sometimes higher level role plays are similar to the conversation topics, so if you learn your conversation topics well you might be lucky - remember to learn the questions too though!
Preparation and learning is key. You need to learn key phrases carefully off by heart so you have the phrases you need to hand.
Don't just read it, practise your Spanish with downloadable audio bites.
Losing your way? Make a Bitesize revision map!
Real Spanish, real drama from BBC languages.


",5,BitGCSE
5847,"Genes are found in our chromosomes and parents pass these on to offspring in their sex cells. Different versions of the same gene are called alleles, and these can determine features such as eye colour, and the inheritance of disorders such as cystic fibrosis.
Controls what happens inside the cell. Chromosomes are structures found in the nucleus of most cells.
controls the activities of a cell. The instructions for how an organism develops are found in the
The plural of nucleus. The nucleus controls what happens inside the cell. Chromosomes are structures found in the nucleus of most cells
Rod shaped bodies found in the nucleus of cells that contain genetic information (DNA).
are structures found in the nucleus of most cells. They consist of long strands of a substance called
The material inside the nucleus of cells, carrying genetic information. DNA stands for Deoxyribonucleic Acid.
for short. A section of DNA that has the genetic code for making a particular protein is called a
The basic unit of genetic material inherited from our parents. A gene is a section of DNA which controls part of a cell's chemistry - particularly protein production.
structural proteins such as the ones found in muscles and hair
enzymes, such as proteases and other digestive enzymes
Fed up of reading? Try this activity!


",5,BitGCSE
3411,"During the Second World War Southeast Asia had been under Japanese control, but in 1945 the French re-occupied Indo-China. A nationalist group, the Vietminh, eventually surrounded and wiped out the French occupying army and America was dragged into fighting a
in 1954, Indo-China was divided into Laos, Cambodia, North Vietnam and South Vietnam, although it was agreed to hold elections in 1956 to unify the two parts of Vietnam.
Ngo Dinh Diem, the ruler of South Vietnam, refused to hold elections.
Ho Chi Minh was a communist, who was supported by China. In 1960, he set up the
A type of warfare that uses unusual tactics, and in-depth knowledge of local surroundings, to defeat opponents both physically and psychologically.
to take over South Vietnam from Diem and his American backers.
The Americans called the NLF guerrillas the
, and supported Diem with military advisers and money.
Diem's government was made up of rich Christian landowners. It was corrupt and unpopular and persecuted the poor Buddhist peasants. By 1963, most of South Vietnam's rural areas were under Vietcong control - the
Army of the Republic of Vietnam, created by the French in 1950.
(South Vietnamese army) could not defeat them.
In 1963, the US supported a military coup, which murdered Diem and put a military government in South Vietnam.
In August 1964, sailors on the American warship USS Maddox in the Gulf of Tonkin claimed they had been attacked by North Vietnamese torpedo boats. The US Congress passed the
resolution, allowing the American President Lyndon B. Johnson to take direct military action in retaliation.
In February 1965, the Vietcong attacked American air bases and killed American soldiers. President Johnson declared war against North Vietnam.
Back to Vietnam 1954 - 1975 index
Fed up with reading? Give your ears a treat and listen to some History audio.
All things historic - from ancient to modern.


",5,BitGCSE
5157,"If you've worked through the all the Revise Bites in this section, you'll now have an understanding of the context of
. You'll have thought carefully about the plot, characters and themes of the play. Now for some practice in putting all these ideas together in in the exam!
Before you start, gather together all the notes you've made about the context, plot, characters, dramatic effect and themes of the play. Re-read them, and sort out your ideas! Then have a go at this question:
Are there any similarities between Portia and Shylock? If so, what? Give reasons for your answer.
Remember, you are advised to spend 45 minutes on this part of the paper, so divide your time up like this:
Have a go at planning and writing your answer away from the computer, before coming back to check your answer against ours. To help you, print off the skeleton answer below and use it as a guide.
Are there any similarities between Portia and Shylock? If so, what? Give reasons for your answer.
Portia and Shylock may seem very different at first glance, but on investigation they are actually quite similar.
Para 2 - Wealth, Lack of freedom
Both are rich yet lack real freedom: explain why. (Portia is restricted by her father's will; shylock is restricted by the laws of Venice)
Para 3 - Position of Women and Jews in Venetian society
Develop these ideas further: both Portia (as a woman) and Shylock (as a Jew) are seem as less important than the ruling Christian men.
Show how both Portia and shylock are very intelligent - give examples.
In the trial scene, neither Portia nor Shylock shows mercy (despite Portia's speech) - why?
Para 6 - Conclusion: Love and Hate
Portia acts out of love while Shylock acts out of hate, so although they are very similar in a number of ways, we can accept what happens.
Once you've completed your own essay, hit
Here is an example of an essay. Compare it to your version. If you have made similar points, backed up with quotations and comments, you would get a good mark! Click to see the examiner's comments.
Explore the example essay and click to see the examiner's comments.
",5,BitGCSE
5215,"Beidh Niamh ar ais ar scoil amrach.
Niamh will not be back until next week
Siobhn was indeed absent for 3 days - Tuesday, Wednesday and Thursday
N dhearna Liam an obair bhaile mar bh pian ina bholg.
Liam's reason for not doing homework was in fact a headache
. Another way to say this is ""Nl s balta sil""
Bh Sen san ospidal ar feadh seachtaine.
Sen was not in hospital but at home in bed for a week
Thinig Nuala ar scoil go mall inniu.
Nuala did come to school late this morning because she had a dental appointment
You're not alone! Discuss your revision with others.
Get some direction with a Bitesize revision map
We've got the Northern Ireland curriculum covered.


",5,BitGCSE
